accident_id,city,state,latitude,longitude,accident_datetime,date,time,hour,day_of_week,month,year,severity,severity_label,vehicle_type,road_type,weather,casualties,fatalities,injured
ACC_000001,Pune,Maharashtra,18.579709,73.793387,2022-12-31 17:38:57,2022-12-31,17:38:57,17,5,12,2022,1,Minor,Car,Rural Road,Rain,1,0,1
ACC_000002,Kolkata,West Bengal,22.596096,88.386231,2020-09-09 13:48:26,2020-09-09,13:48:26,13,2,9,2020,1,Minor,Car,Highway,Clear,1,0,1
ACC_000003,Bangalore,Karnataka,13.043588,77.630662,2022-04-20 05:03:24,2022-04-20,05:03:24,5,2,4,2022,3,Fatal,Truck,City Road,Clear,2,1,0
ACC_000004,Mumbai,Maharashtra,19.027756,72.910204,2022-10-22 12:53:41,2022-10-22,12:53:41,12,5,10,2022,1,Minor,Car,Rural Road,Clear,1,0,0
ACC_000005,Pune,Maharashtra,18.524567,73.948934,2021-12-20 18:46:52,2021-12-20,18:46:52,18,0,12,2021,1,Minor,Auto-rickshaw,City Road,Clear,0,0,0
ACC_000006,Surat,Gujarat,21.224649,72.770843,2022-12-22 19:16:07,2022-12-22,19:16:07,19,3,12,2022,2,Serious,Bus,Highway,Clear,0,0,2
ACC_000007,Pune,Maharashtra,18.554168,73.889884,2021-11-14 17:26:34,2021-11-14,17:26:34,17,6,11,2021,1,Minor,Car,Rural Road,Rain,2,0,1
ACC_000008,Bangalore,Karnataka,12.877886,77.621882,2021-07-17 16:03:29,2021-07-17,16:03:29,16,5,7,2021,1,Minor,Motorcycle,City Road,Clear,3,0,0
ACC_000009,Kolkata,West Bengal,22.646892,88.424634,2023-09-25 21:10:57,2023-09-25,21:10:57,21,0,9,2023,1,Minor,Car,Residential,Clear,1,0,0
ACC_000010,Hyderabad,Telangana,17.387149,78.470182,2023-06-02 07:43:23,2023-06-02,07:43:23,7,4,6,2023,2,Serious,Car,City Road,Rain,3,0,1
ACC_000011,Mumbai,Maharashtra,19.029356,72.973023,2020-08-07 04:36:31,2020-08-07,04:36:31,4,4,8,2020,2,Serious,Car,Highway,Clear,3,0,3
ACC_000012,Mumbai,Maharashtra,19.006144,72.87934,2021-04-08 03:19:59,2021-04-08,03:19:59,3,3,4,2021,1,Minor,Car,City Road,Clear,1,0,1
ACC_000013,Mumbai,Maharashtra,19.111138,72.924743,2020-05-30 15:41:34,2020-05-30,15:41:34,15,5,5,2020,1,Minor,Car,Residential,Clear,0,0,3
ACC_000014,Surat,Gujarat,21.140042,72.876291,2023-02-28 20:53:55,2023-02-28,20:53:55,20,1,2,2023,2,Serious,Truck,Residential,Rain,4,0,2
ACC_000015,Surat,Gujarat,21.105385,72.734715,2021-02-01 10:19:55,2021-02-01,10:19:55,10,0,2,2021,1,Minor,Truck,City Road,Clear,0,0,0
ACC_000016,Hyderabad,Telangana,17.480779,78.484048,2023-07-30 13:20:29,2023-07-30,13:20:29,13,6,7,2023,1,Minor,Motorcycle,Rural Road,Clear,1,0,0
ACC_000017,Kolkata,West Bengal,22.649299,88.413444,2022-11-26 21:48:45,2022-11-26,21:48:45,21,5,11,2022,3,Fatal,Auto-rickshaw,Rural Road,Clear,3,1,3
ACC_000018,Hyderabad,Telangana,17.356729,78.437533,2021-05-04 20:16:39,2021-05-04,20:16:39,20,1,5,2021,1,Minor,Bus,City Road,Clear,4,0,2
ACC_000019,Bangalore,Karnataka,12.939199,77.569717,2022-04-13 13:21:50,2022-04-13,13:21:50,13,2,4,2022,1,Minor,Motorcycle,Highway,Clear,0,1,1
ACC_000020,Kolkata,West Bengal,22.577049,88.417899,2022-09-30 22:38:03,2022-09-30,22:38:03,22,4,9,2022,2,Serious,Car,City Road,Rain,1,0,1
ACC_000021,Ahmedabad,Gujarat,22.976666,72.559194,2023-10-01 01:52:22,2023-10-01,01:52:22,1,6,10,2023,1,Minor,Motorcycle,Highway,Night,1,1,0
ACC_000022,Kolkata,West Bengal,22.600254,88.367239,2021-12-04 16:21:28,2021-12-04,16:21:28,16,5,12,2021,1,Minor,Car,City Road,Rain,0,0,0
ACC_000023,Mumbai,Maharashtra,19.038283,72.973602,2021-03-28 14:25:25,2021-03-28,14:25:25,14,6,3,2021,1,Minor,Motorcycle,Highway,Clear,1,0,0
ACC_000024,Jaipur,Rajasthan,26.937572,75.787927,2022-02-07 15:44:03,2022-02-07,15:44:03,15,0,2,2022,1,Minor,Auto-rickshaw,Residential,Fog,2,0,0
ACC_000025,Bangalore,Karnataka,13.035728,77.619788,2023-12-11 17:42:43,2023-12-11,17:42:43,17,0,12,2023,1,Minor,Car,City Road,Clear,1,0,1
ACC_000026,Delhi,Delhi,28.656239,77.101707,2022-04-05 18:44:10,2022-04-05,18:44:10,18,1,4,2022,2,Serious,Bus,Rural Road,Clear,1,0,3
ACC_000027,Ahmedabad,Gujarat,23.095923,72.583773,2023-10-24 18:22:24,2023-10-24,18:22:24,18,1,10,2023,1,Minor,Car,City Road,Clear,1,1,0
ACC_000028,Surat,Gujarat,21.239629,72.802081,2021-12-18 18:51:18,2021-12-18,18:51:18,18,5,12,2021,1,Minor,Car,Highway,Rain,1,0,1
ACC_000029,Kolkata,West Bengal,22.571484,88.275412,2023-05-31 05:34:22,2023-05-31,05:34:22,5,2,5,2023,1,Minor,Bus,Residential,Rain,3,0,1
ACC_000030,Delhi,Delhi,28.62037,77.019468,2020-12-04 16:44:00,2020-12-04,16:44:00,16,4,12,2020,2,Serious,Car,Residential,Clear,2,0,2
ACC_000031,Bangalore,Karnataka,12.922336,77.57564,2022-12-17 18:07:40,2022-12-17,18:07:40,18,5,12,2022,2,Serious,Motorcycle,Highway,Clear,1,0,4
ACC_000032,Hyderabad,Telangana,17.469929,78.570523,2023-06-04 18:56:17,2023-06-04,18:56:17,18,6,6,2023,1,Minor,Car,Highway,Night,1,0,2
ACC_000033,Hyderabad,Telangana,17.376131,78.510727,2022-10-28 08:35:25,2022-10-28,08:35:25,8,4,10,2022,1,Minor,Car,Highway,Clear,0,0,0
ACC_000034,Surat,Gujarat,21.132106,72.893859,2022-01-01 09:12:45,2022-01-01,09:12:45,9,5,1,2022,1,Minor,Auto-rickshaw,City Road,Clear,1,0,1
ACC_000035,Ahmedabad,Gujarat,22.997793,72.633511,2020-08-11 23:10:20,2020-08-11,23:10:20,23,1,8,2020,2,Serious,Car,Rural Road,Clear,0,1,0
ACC_000036,Kolkata,West Bengal,22.483875,88.436844,2021-12-09 23:37:02,2021-12-09,23:37:02,23,3,12,2021,1,Minor,Bus,Residential,Fog,0,0,0
ACC_000037,Bangalore,Karnataka,12.926546,77.536046,2021-03-24 18:31:33,2021-03-24,18:31:33,18,2,3,2021,1,Minor,Car,City Road,Clear,2,0,2
ACC_000038,Pune,Maharashtra,18.571427,73.880762,2021-07-31 19:38:37,2021-07-31,19:38:37,19,5,7,2021,1,Minor,Bicycle,City Road,Rain,1,0,1
ACC_000039,Pune,Maharashtra,18.52512,73.896228,2022-03-07 07:55:16,2022-03-07,07:55:16,7,0,3,2022,1,Minor,Car,City Road,Night,1,0,0
ACC_000040,Bangalore,Karnataka,12.979053,77.586624,2022-04-27 07:53:15,2022-04-27,07:53:15,7,2,4,2022,1,Minor,Car,City Road,Fog,1,0,0
ACC_000041,Bangalore,Karnataka,13.035958,77.563617,2021-11-12 08:20:05,2021-11-12,08:20:05,8,4,11,2021,1,Minor,Motorcycle,Highway,Clear,1,1,2
ACC_000042,Mumbai,Maharashtra,19.031376,72.93894,2021-09-16 17:51:14,2021-09-16,17:51:14,17,3,9,2021,1,Minor,Auto-rickshaw,Highway,Rain,2,0,0
ACC_000043,Bangalore,Karnataka,13.050641,77.596935,2023-07-21 13:34:50,2023-07-21,13:34:50,13,4,7,2023,1,Minor,Car,City Road,Clear,0,0,0
ACC_000044,Surat,Gujarat,21.248305,72.849818,2023-11-18 19:44:17,2023-11-18,19:44:17,19,5,11,2023,1,Minor,Motorcycle,City Road,Rain,1,0,0
ACC_000045,Jaipur,Rajasthan,26.933911,75.736171,2020-11-10 23:36:56,2020-11-10,23:36:56,23,1,11,2020,1,Minor,Car,Highway,Clear,0,0,0
ACC_000046,Ahmedabad,Gujarat,23.101853,72.487447,2020-08-30 01:36:35,2020-08-30,01:36:35,1,6,8,2020,3,Fatal,Truck,City Road,Night,0,1,6
ACC_000047,Kolkata,West Bengal,22.510009,88.328636,2021-12-24 15:48:11,2021-12-24,15:48:11,15,4,12,2021,1,Minor,Motorcycle,Highway,Clear,0,0,1
ACC_000048,Delhi,Delhi,28.694954,77.112221,2020-06-20 08:39:01,2020-06-20,08:39:01,8,5,6,2020,1,Minor,Car,Highway,Clear,1,0,0
ACC_000049,Kolkata,West Bengal,22.638724,88.456905,2020-11-29 21:10:08,2020-11-29,21:10:08,21,6,11,2020,1,Minor,Car,Residential,Rain,0,0,4
ACC_000050,Bangalore,Karnataka,13.004639,77.599213,2020-05-11 10:41:24,2020-05-11,10:41:24,10,0,5,2020,1,Minor,Motorcycle,Rural Road,Fog,1,0,1
ACC_000051,Pune,Maharashtra,18.526771,73.770024,2020-04-13 17:50:05,2020-04-13,17:50:05,17,0,4,2020,2,Serious,Motorcycle,City Road,Clear,5,0,2
ACC_000052,Hyderabad,Telangana,17.427813,78.485496,2022-05-14 06:12:30,2022-05-14,06:12:30,6,5,5,2022,1,Minor,Motorcycle,City Road,Clear,1,0,1
ACC_000053,Bangalore,Karnataka,13.01039,77.603145,2023-07-30 11:10:09,2023-07-30,11:10:09,11,6,7,2023,1,Minor,Car,City Road,Clear,2,0,0
ACC_000054,Ahmedabad,Gujarat,23.096925,72.657824,2020-12-21 21:04:55,2020-12-21,21:04:55,21,0,12,2020,1,Minor,Motorcycle,Rural Road,Clear,0,1,0
ACC_000055,Surat,Gujarat,21.255314,72.821268,2022-03-24 09:25:45,2022-03-24,09:25:45,9,3,3,2022,1,Minor,Truck,City Road,Clear,0,0,1
ACC_000056,Jaipur,Rajasthan,26.972971,75.688226,2022-07-25 07:51:24,2022-07-25,07:51:24,7,0,7,2022,2,Serious,Auto-rickshaw,City Road,Clear,2,0,2
ACC_000057,Kolkata,West Bengal,22.655569,88.336379,2020-03-03 09:25:27,2020-03-03,09:25:27,9,1,3,2020,1,Minor,Motorcycle,Residential,Clear,2,0,0
ACC_000058,Pune,Maharashtra,18.505758,73.916656,2023-09-03 08:28:48,2023-09-03,08:28:48,8,6,9,2023,1,Minor,Motorcycle,City Road,Clear,1,0,1
ACC_000059,Hyderabad,Telangana,17.438071,78.407296,2023-07-11 20:38:02,2023-07-11,20:38:02,20,1,7,2023,1,Minor,Car,City Road,Clear,0,0,2
ACC_000060,Pune,Maharashtra,18.471178,73.795923,2020-11-23 06:46:36,2020-11-23,06:46:36,6,0,11,2020,1,Minor,Motorcycle,Highway,Clear,0,0,2
ACC_000061,Kolkata,West Bengal,22.500816,88.345178,2022-04-02 21:06:09,2022-04-02,21:06:09,21,5,4,2022,1,Minor,Car,Highway,Clear,1,0,1
ACC_000062,Jaipur,Rajasthan,26.977421,75.759912,2023-02-16 09:04:36,2023-02-16,09:04:36,9,3,2,2023,1,Minor,Motorcycle,City Road,Clear,2,0,2
ACC_000063,Mumbai,Maharashtra,19.072956,72.880192,2021-06-04 15:44:24,2021-06-04,15:44:24,15,4,6,2021,1,Minor,Car,Rural Road,Night,1,0,0
ACC_000064,Delhi,Delhi,28.710032,77.165511,2020-02-10 09:16:36,2020-02-10,09:16:36,9,0,2,2020,1,Minor,Truck,Highway,Clear,0,0,2
ACC_000065,Surat,Gujarat,21.169055,72.845759,2023-11-25 12:27:57,2023-11-25,12:27:57,12,5,11,2023,1,Minor,Car,Residential,Clear,0,0,0
ACC_000066,Ahmedabad,Gujarat,23.009939,72.654503,2020-07-05 10:34:53,2020-07-05,10:34:53,10,6,7,2020,1,Minor,Motorcycle,Residential,Rain,0,1,0
ACC_000067,Bangalore,Karnataka,13.039906,77.663882,2020-12-30 07:08:25,2020-12-30,07:08:25,7,2,12,2020,1,Minor,Car,City Road,Clear,2,1,0
ACC_000068,Bangalore,Karnataka,12.926029,77.612646,2020-10-01 10:58:58,2020-10-01,10:58:58,10,3,10,2020,3,Fatal,Bus,City Road,Clear,3,1,6
ACC_000069,Jaipur,Rajasthan,26.820285,75.828415,2021-12-11 23:25:20,2021-12-11,23:25:20,23,5,12,2021,1,Minor,Car,Highway,Rain,0,0,1
ACC_000070,Chennai,Tamil Nadu,13.15161,80.23452,2021-09-06 03:30:23,2021-09-06,03:30:23,3,0,9,2021,1,Minor,Car,Highway,Rain,0,0,0
ACC_000071,Ahmedabad,Gujarat,23.030398,72.629545,2022-07-09 18:32:15,2022-07-09,18:32:15,18,5,7,2022,1,Minor,Truck,City Road,Clear,1,0,1
ACC_000072,Pune,Maharashtra,18.422297,73.767237,2021-04-21 03:43:56,2021-04-21,03:43:56,3,2,4,2021,1,Minor,Car,City Road,Clear,0,0,1
ACC_000073,Ahmedabad,Gujarat,22.979948,72.530662,2020-10-19 04:00:52,2020-10-19,04:00:52,4,0,10,2020,3,Fatal,Motorcycle,City Road,Rain,3,1,4
ACC_000074,Chennai,Tamil Nadu,12.995697,80.251016,2023-08-26 17:44:45,2023-08-26,17:44:45,17,5,8,2023,1,Minor,Car,Highway,Clear,1,1,4
ACC_000075,Jaipur,Rajasthan,26.91545,75.785537,2023-03-14 07:31:34,2023-03-14,07:31:34,7,1,3,2023,1,Minor,Car,City Road,Clear,1,0,0
ACC_000076,Surat,Gujarat,21.079075,72.901539,2020-06-18 19:39:24,2020-06-18,19:39:24,19,3,6,2020,1,Minor,Car,City Road,Clear,0,0,1
ACC_000077,Kolkata,West Bengal,22.670895,88.276203,2023-08-17 14:28:50,2023-08-17,14:28:50,14,3,8,2023,2,Serious,Car,City Road,Clear,3,0,6
ACC_000078,Pune,Maharashtra,18.596727,73.948963,2022-01-30 02:22:41,2022-01-30,02:22:41,2,6,1,2022,1,Minor,Car,Rural Road,Clear,2,1,0
ACC_000079,Mumbai,Maharashtra,19.087969,72.800869,2022-05-15 17:23:44,2022-05-15,17:23:44,17,6,5,2022,2,Serious,Car,Rural Road,Clear,4,0,1
ACC_000080,Mumbai,Maharashtra,19.130197,72.919414,2022-06-04 11:25:55,2022-06-04,11:25:55,11,5,6,2022,1,Minor,Truck,Residential,Night,1,0,0
ACC_000081,Mumbai,Maharashtra,19.040722,72.875429,2022-08-04 09:22:25,2022-08-04,09:22:25,9,3,8,2022,1,Minor,Motorcycle,Residential,Clear,3,0,1
ACC_000082,Bangalore,Karnataka,13.061773,77.524812,2022-09-15 22:15:36,2022-09-15,22:15:36,22,3,9,2022,1,Minor,Car,Highway,Night,1,0,0
ACC_000083,Mumbai,Maharashtra,19.106333,72.851405,2023-07-18 14:26:07,2023-07-18,14:26:07,14,1,7,2023,1,Minor,Car,Highway,Clear,1,1,1
ACC_000084,Ahmedabad,Gujarat,23.10667,72.59473,2021-06-10 14:13:06,2021-06-10,14:13:06,14,3,6,2021,1,Minor,Motorcycle,City Road,Clear,1,0,0
ACC_000085,Ahmedabad,Gujarat,23.009149,72.66827,2021-12-21 00:17:29,2021-12-21,00:17:29,0,1,12,2021,1,Minor,Motorcycle,City Road,Clear,3,0,0
ACC_000086,Mumbai,Maharashtra,18.996558,72.891881,2021-08-14 14:27:19,2021-08-14,14:27:19,14,5,8,2021,1,Minor,Bus,Residential,Clear,2,0,0
ACC_000087,Pune,Maharashtra,18.446943,73.870208,2020-05-01 19:33:41,2020-05-01,19:33:41,19,4,5,2020,1,Minor,Car,City Road,Rain,0,0,0
ACC_000088,Surat,Gujarat,21.212012,72.905294,2023-09-03 19:46:58,2023-09-03,19:46:58,19,6,9,2023,1,Minor,Motorcycle,City Road,Clear,2,0,1
ACC_000089,Pune,Maharashtra,18.550459,73.852556,2023-06-20 08:54:45,2023-06-20,08:54:45,8,1,6,2023,1,Minor,Car,Rural Road,Rain,1,0,0
ACC_000090,Ahmedabad,Gujarat,23.117459,72.601465,2022-01-24 18:28:53,2022-01-24,18:28:53,18,0,1,2022,1,Minor,Car,City Road,Fog,2,0,1
ACC_000091,Ahmedabad,Gujarat,23.03116,72.574199,2021-02-23 02:33:35,2021-02-23,02:33:35,2,1,2,2021,2,Serious,Auto-rickshaw,City Road,Clear,2,0,2
ACC_000092,Ahmedabad,Gujarat,23.003562,72.591771,2023-08-14 09:13:01,2023-08-14,09:13:01,9,0,8,2023,1,Minor,Truck,City Road,Clear,2,0,1
ACC_000093,Surat,Gujarat,21.264082,72.782727,2023-06-06 00:00:39,2023-06-06,00:00:39,0,1,6,2023,1,Minor,Car,Highway,Clear,2,0,1
ACC_000094,Kolkata,West Bengal,22.522343,88.387329,2021-05-27 09:53:19,2021-05-27,09:53:19,9,3,5,2021,1,Minor,Motorcycle,City Road,Clear,2,0,1
ACC_000095,Chennai,Tamil Nadu,13.03665,80.182117,2021-05-25 09:25:28,2021-05-25,09:25:28,9,1,5,2021,1,Minor,Car,Highway,Clear,0,0,1
ACC_000096,Delhi,Delhi,28.797124,77.003488,2020-08-04 17:56:38,2020-08-04,17:56:38,17,1,8,2020,1,Minor,Motorcycle,City Road,Rain,0,1,0
ACC_000097,Delhi,Delhi,28.644471,77.137186,2023-09-26 06:07:28,2023-09-26,06:07:28,6,1,9,2023,1,Minor,Truck,Highway,Rain,3,0,2
ACC_000098,Ahmedabad,Gujarat,23.081602,72.655136,2022-10-21 08:15:13,2022-10-21,08:15:13,8,4,10,2022,1,Minor,Motorcycle,Highway,Rain,1,0,1
ACC_000099,Surat,Gujarat,21.088296,72.788837,2022-08-28 20:37:45,2022-08-28,20:37:45,20,6,8,2022,2,Serious,Motorcycle,Residential,Fog,2,0,2
ACC_000100,Jaipur,Rajasthan,26.891635,75.826393,2022-04-07 16:32:48,2022-04-07,16:32:48,16,3,4,2022,1,Minor,Motorcycle,Highway,Clear,0,0,2
ACC_000101,Ahmedabad,Gujarat,23.026316,72.567236,2021-09-20 19:24:11,2021-09-20,19:24:11,19,0,9,2021,1,Minor,Motorcycle,Highway,Clear,1,0,2
ACC_000102,Pune,Maharashtra,18.599743,73.770956,2021-02-02 09:10:50,2021-02-02,09:10:50,9,1,2,2021,1,Minor,Auto-rickshaw,City Road,Clear,1,0,0
ACC_000103,Bangalore,Karnataka,12.987786,77.512525,2021-10-31 18:48:12,2021-10-31,18:48:12,18,6,10,2021,1,Minor,Car,Highway,Rain,0,0,1
ACC_000104,Jaipur,Rajasthan,26.849446,75.87085,2023-01-12 14:06:53,2023-01-12,14:06:53,14,3,1,2023,1,Minor,Car,City Road,Night,3,0,1
ACC_000105,Jaipur,Rajasthan,26.992405,75.757984,2023-03-23 09:03:49,2023-03-23,09:03:49,9,3,3,2023,2,Serious,Truck,City Road,Fog,1,0,1
ACC_000106,Delhi,Delhi,28.698678,77.109572,2021-10-23 01:14:34,2021-10-23,01:14:34,1,5,10,2021,1,Minor,Motorcycle,Highway,Clear,1,0,0
ACC_000107,Kolkata,West Bengal,22.607768,88.352443,2021-09-28 18:48:10,2021-09-28,18:48:10,18,1,9,2021,3,Fatal,Car,Highway,Rain,2,1,1
ACC_000108,Ahmedabad,Gujarat,22.995891,72.540112,2022-09-25 05:48:59,2022-09-25,05:48:59,5,6,9,2022,1,Minor,Truck,Highway,Clear,2,0,0
ACC_000109,Hyderabad,Telangana,17.295468,78.462395,2021-09-05 16:33:22,2021-09-05,16:33:22,16,6,9,2021,1,Minor,Car,City Road,Night,0,0,0
ACC_000110,Jaipur,Rajasthan,26.831735,75.777374,2022-06-30 00:15:11,2022-06-30,00:15:11,0,3,6,2022,3,Fatal,Motorcycle,City Road,Clear,1,1,3
ACC_000111,Hyderabad,Telangana,17.302825,78.537754,2023-03-30 17:11:37,2023-03-30,17:11:37,17,3,3,2023,1,Minor,Car,Highway,Clear,0,0,0
ACC_000112,Surat,Gujarat,21.18096,72.792205,2023-04-18 09:25:03,2023-04-18,09:25:03,9,1,4,2023,2,Serious,Car,Rural Road,Clear,2,0,3
ACC_000113,Hyderabad,Telangana,17.313256,78.429096,2020-03-13 10:34:01,2020-03-13,10:34:01,10,4,3,2020,1,Minor,Car,Residential,Clear,2,0,1
ACC_000114,Hyderabad,Telangana,17.450866,78.450206,2021-04-27 12:24:12,2021-04-27,12:24:12,12,1,4,2021,1,Minor,Car,Highway,Clear,3,0,1
ACC_000115,Hyderabad,Telangana,17.285067,78.390238,2023-02-27 17:18:30,2023-02-27,17:18:30,17,0,2,2023,1,Minor,Bus,City Road,Clear,1,0,1
ACC_000116,Bangalore,Karnataka,12.886526,77.651139,2022-06-01 08:15:59,2022-06-01,08:15:59,8,2,6,2022,1,Minor,Motorcycle,Highway,Clear,0,0,3
ACC_000117,Bangalore,Karnataka,12.945152,77.577426,2021-03-30 18:21:04,2021-03-30,18:21:04,18,1,3,2021,1,Minor,Motorcycle,City Road,Clear,0,0,0
ACC_000118,Pune,Maharashtra,18.54419,73.8214,2020-08-29 17:52:17,2020-08-29,17:52:17,17,5,8,2020,1,Minor,Car,City Road,Clear,1,0,0
ACC_000119,Chennai,Tamil Nadu,13.155632,80.219396,2021-08-16 14:40:28,2021-08-16,14:40:28,14,0,8,2021,1,Minor,Motorcycle,Rural Road,Fog,2,0,1
ACC_000120,Jaipur,Rajasthan,26.998464,75.737912,2020-08-19 13:10:54,2020-08-19,13:10:54,13,2,8,2020,1,Minor,Truck,City Road,Rain,0,0,0
ACC_000121,Mumbai,Maharashtra,19.064655,72.787266,2023-05-08 06:42:00,2023-05-08,06:42:00,6,0,5,2023,1,Minor,Car,Highway,Night,1,0,0
ACC_000122,Bangalore,Karnataka,13.003874,77.531639,2021-03-17 06:29:53,2021-03-17,06:29:53,6,2,3,2021,2,Serious,Car,Highway,Clear,4,0,0
ACC_000123,Chennai,Tamil Nadu,13.137627,80.299481,2021-01-12 14:49:09,2021-01-12,14:49:09,14,1,1,2021,2,Serious,Car,Residential,Rain,4,0,2
ACC_000124,Jaipur,Rajasthan,26.934988,75.875915,2021-02-17 21:43:31,2021-02-17,21:43:31,21,2,2,2021,1,Minor,Car,Residential,Rain,0,0,0
